,Unnamed: 0,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId,year,month
0,0,2021-08-30 19:00,nuclear,核二#1,['核二'],985.0,0.0,0.0,1,break,停機維護,,2021,08
158,158,2021-03-26 05:10,wind,海洋竹南,['海洋竹南'],128.0,3.6,2.81,True,online,,,2021,03
158,158,2021-05-15 08:30,wind,海洋竹南,['海洋竹南'],128.0,48.9,38.2,True,online,,,2021,05
157,157,2021-03-19 09:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,03
158,158,2021-03-20 09:50,wind,海洋竹南,['海洋竹南'],128.0,10.3,8.05,True,online,,,2021,03
158,158,2021-06-14 01:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-02-17 20:40,wind,海洋竹南,['海洋竹南'],128.0,127.9,99.92,True,online,,,2021,02
158,158,2021-05-26 18:00,wind,海洋竹南,['海洋竹南'],128.0,112.1,87.58,True,online,,,2021,05
158,158,2021-05-11 11:00,wind,海洋竹南,['海洋竹南'],128.0,119.5,93.36,True,online,,,2021,05
158,158,2021-06-18 22:40,wind,海洋竹南,['海洋竹南'],128.0,69.7,54.45,True,online,,,2021,06
158,158,2021-06-14 02:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-01-30 08:00,wind,海洋竹南,['海洋竹南'],128.0,3.8,2.97,True,online,,,2021,01
158,158,2021-05-12 06:30,wind,海洋竹南,['海洋竹南'],128.0,87.6,68.44,True,online,,,2021,05
158,158,2021-04-10 02:50,wind,海洋竹南,['海洋竹南'],128.0,121.4,94.84,True,online,,,2021,04
158,158,2021-06-30 09:10,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-02-04 20:00,wind,海洋竹南,['海洋竹南'],128.0,30.0,23.44,True,online,,,2021,02
158,158,2021-05-07 14:50,wind,海洋竹南,['海洋竹南'],128.0,55.2,43.13,True,online,,,2021,05
158,158,2021-05-25 11:40,wind,海洋竹南,['海洋竹南'],128.0,75.6,59.06,True,online,,,2021,05
157,157,2021-03-08 07:20,wind,海洋竹南,['海洋竹南'],128.0,127.5,99.61,True,online,,,2021,03
157,157,2021-03-10 02:20,wind,海洋竹南,['海洋竹南'],128.0,116.3,90.86,True,online,,,2021,03
158,158,2021-03-29 06:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,03
157,157,2021-02-04 23:30,wind,海洋竹南,['海洋竹南'],128.0,1.7,1.33,True,online,,,2021,02
158,158,2021-04-22 00:00,wind,海洋竹南,['海洋竹南'],128.0,1.0,0.78,True,online,,,2021,04
158,158,2021-04-18 12:50,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,04
157,157,2021-01-13 03:10,wind,海洋竹南,['海洋竹南'],128.0,42.8,33.44,True,online,,,2021,01
158,158,2021-04-21 13:40,wind,海洋竹南,['海洋竹南'],128.0,71.0,55.47,True,online,,,2021,04
158,158,2021-05-19 00:10,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,05
158,158,2021-06-14 01:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-03-12 18:10,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,03
157,157,2021-03-10 10:50,wind,海洋竹南,['海洋竹南'],128.0,127.3,99.45,True,online,,,2021,03
158,158,2021-06-21 11:10,wind,海洋竹南,['海洋竹南'],128.0,69.3,54.14,True,online,,,2021,06
158,158,2021-05-22 03:40,wind,海洋竹南,['海洋竹南'],128.0,35.7,27.89,True,online,,,2021,05
158,158,2021-06-24 18:40,wind,海洋竹南,['海洋竹南'],128.0,11.1,8.67,True,online,,,2021,06
158,158,2021-05-30 18:00,wind,海洋竹南,['海洋竹南'],128.0,54.0,42.19,True,online,,,2021,05
157,157,2021-02-20 22:30,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
157,157,2021-02-25 08:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
157,157,2021-01-22 04:20,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,01
158,158,2021-06-25 22:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,06
157,157,2021-01-27 07:30,wind,海洋竹南,['海洋竹南'],128.0,123.1,96.17,True,online,,,2021,01
157,157,2021-02-21 01:50,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,02
157,157,2021-01-12 21:50,wind,海洋竹南,['海洋竹南'],128.0,106.0,82.81,True,online,,,2021,01
158,158,2021-05-30 04:00,wind,海洋竹南,['海洋竹南'],128.0,5.0,3.91,True,online,,,2021,05
158,158,2021-05-24 10:30,wind,海洋竹南,['海洋竹南'],128.0,95.8,74.84,True,online,,,2021,05
158,158,2021-05-09 17:40,wind,海洋竹南,['海洋竹南'],128.0,0.0,0.0,True,online,,,2021,05
