,Unnamed: 0,record_time,type,name,mappingName,capacity,used,percent,gov,status,note,noteId,year,month
0,0,2021-08-30 19:00,nuclear,核二#1,['核二'],985.0,0.0,0.0,1,break,停機維護,,2021,08
30,30,2021-09-09 03:00,lng,大潭CC#2,['大潭'],742.7,445.5,59.98,1,online,部分故障,,2021,09
30,30,2021-07-03 04:50,lng,大潭CC#2,['大潭'],742.7,611.2,82.29,1,online,,,2021,07
30,30,2021-09-04 23:40,lng,大潭CC#2,['大潭'],742.7,354.9,47.79,1,online,部分故障,,2021,09
30,30,2021-08-07 01:40,lng,大潭CC#2,['大潭'],742.7,416.7,56.11,1,online,部分故障,,2021,08
30,30,2021-06-14 01:30,lng,大潭CC#2,['大潭'],742.7,620.2,83.51,1,online,,,2021,06
30,30,2021-08-08 14:50,lng,大潭CC#2,['大潭'],742.7,423.9,57.08,1,online,部分故障,,2021,08
30,30,2021-11-30 15:20,lng,大潭CC#2,['大潭'],742.7,196.8,26.5,1,online,部分故障,,2021,11
30,30,2021-05-26 18:00,lng,大潭CC#2,['大潭'],742.7,660.3,88.91,1,online,,,2021,05
30,30,2021-12-07 07:10,lng,大潭CC#2,['大潭'],742.7,196.4,26.44,1,online,部分故障,,2021,12
30,30,2021-06-18 22:40,lng,大潭CC#2,['大潭'],742.7,692.6,93.25,1,online,,,2021,06
30,30,2021-12-15 01:50,lng,大潭CC#2,['大潭'],742.7,196.2,26.42,1,online,部分故障,,2021,12
30,30,2021-06-14 02:50,lng,大潭CC#2,['大潭'],742.7,640.1,86.19,1,online,,,2021,06
30,30,2021-08-29 16:00,lng,大潭CC#2,['大潭'],742.7,340.7,45.87,1,online,部分故障,,2021,08
30,30,2021-11-15 05:20,lng,大潭CC#2,['大潭'],742.7,196.4,26.44,1,online,部分故障,,2021,11
30,30,2021-10-10 23:30,lng,大潭CC#2,['大潭'],742.7,194.5,26.19,1,online,部分故障,,2021,10
30,30,2021-04-10 02:50,lng,大潭CC#2,['大潭'],742.7,436.5,58.77,True,online,部分檢修,,2021,04
30,30,2021-10-27 20:10,lng,大潭CC#2,['大潭'],742.7,195.2,26.28,1,online,部分故障,,2021,10
30,30,2021-06-30 09:10,lng,大潭CC#2,['大潭'],742.7,633.7,85.32,1,online,,,2021,06
30,30,2021-09-25 19:50,lng,大潭CC#2,['大潭'],742.7,209.0,28.14,1,online,部分故障,,2021,09
30,30,2021-09-30 16:00,lng,大潭CC#2,['大潭'],742.7,195.6,26.34,1,online,部分故障,,2021,09
30,30,2021-07-16 06:50,lng,大潭CC#2,['大潭'],742.7,445.7,60.01,1,online,部分故障,,2021,07
30,30,2021-08-26 21:50,lng,大潭CC#2,['大潭'],742.7,425.7,57.32,1,online,部分故障,,2021,08
30,30,2021-05-25 11:40,lng,大潭CC#2,['大潭'],742.7,610.8,82.24,1,online,,,2021,05
30,30,2021-09-10 18:50,lng,大潭CC#2,['大潭'],742.7,467.7,62.97,1,online,部分故障,,2021,09
30,30,2021-09-13 13:40,lng,大潭CC#2,['大潭'],742.7,433.7,58.4,1,online,部分故障,,2021,09
30,30,2021-10-01 20:50,lng,大潭CC#2,['大潭'],742.7,195.5,26.32,1,online,部分故障,,2021,10
30,30,2021-04-18 12:50,lng,大潭CC#2,['大潭'],742.7,614.6,82.75,True,online,,,2021,04
30,30,2021-05-19 00:10,lng,大潭CC#2,['大潭'],742.7,667.2,89.83,1,online,,,2021,05
30,30,2021-09-27 11:40,lng,大潭CC#2,['大潭'],742.7,203.1,27.35,1,online,部分故障,,2021,09
30,30,2021-06-14 01:20,lng,大潭CC#2,['大潭'],742.7,662.2,89.16,1,online,,,2021,06
30,30,2021-08-06 05:10,lng,大潭CC#2,['大潭'],742.7,459.4,61.86,1,online,部分故障,,2021,08
29,29,2021-12-28 09:40,lng,大潭CC#2,['大潭'],742.7,167.3,22.53,1,online,部分故障,,2021,12
30,30,2021-07-08 22:00,lng,大潭CC#2,['大潭'],742.7,420.2,56.58,1,online,部分故障,,2021,07
30,30,2021-11-25 05:10,lng,大潭CC#2,['大潭'],742.7,199.2,26.82,1,online,部分故障,,2021,11
30,30,2021-06-21 11:10,lng,大潭CC#2,['大潭'],742.7,608.9,81.98,1,online,,,2021,06
30,30,2021-09-01 18:00,lng,大潭CC#2,['大潭'],742.7,475.9,64.08,1,online,部分故障,,2021,09
30,30,2021-10-22 08:00,lng,大潭CC#2,['大潭'],742.7,193.9,26.11,1,online,部分故障,,2021,10
30,30,2021-08-10 23:00,lng,大潭CC#2,['大潭'],742.7,434.1,58.45,1,online,部分故障,,2021,08
30,30,2021-08-04 15:00,lng,大潭CC#2,['大潭'],742.7,463.0,62.34,1,online,部分故障,,2021,08
30,30,2021-11-10 08:00,lng,大潭CC#2,['大潭'],742.7,193.6,26.07,1,online,部分故障,,2021,11
30,30,2021-07-04 17:10,lng,大潭CC#2,['大潭'],742.7,700.0,94.25,1,online,,,2021,07
30,30,2021-05-22 03:40,lng,大潭CC#2,['大潭'],742.7,624.8,84.13,1,online,,,2021,05
30,30,2021-11-21 13:30,lng,大潭CC#2,['大潭'],742.7,196.9,26.51,1,online,部分故障,,2021,11
30,30,2021-07-21 02:40,lng,大潭CC#2,['大潭'],742.7,408.8,55.04,1,online,部分故障,,2021,07
30,30,2021-08-29 09:20,lng,大潭CC#2,['大潭'],742.7,471.3,63.46,1,online,部分故障,,2021,08
30,30,2021-07-27 01:20,lng,大潭CC#2,['大潭'],742.7,424.6,57.17,1,online,部分故障,,2021,07
30,30,2021-06-24 18:40,lng,大潭CC#2,['大潭'],742.7,609.0,82.0,1,online,,,2021,06
30,30,2021-05-30 18:00,lng,大潭CC#2,['大潭'],742.7,613.7,82.63,1,online,,,2021,05
30,30,2021-09-15 07:10,lng,大潭CC#2,['大潭'],742.7,417.3,56.19,1,online,部分故障,,2021,09
30,30,2021-11-05 21:30,lng,大潭CC#2,['大潭'],742.7,194.5,26.19,1,online,部分故障,,2021,11
30,30,2021-06-25 22:40,lng,大潭CC#2,['大潭'],742.7,700.3,94.29,1,online,,,2021,06
30,30,2021-08-11 17:20,lng,大潭CC#2,['大潭'],742.7,454.8,61.24,1,online,部分故障,,2021,08
30,30,2021-10-21 22:50,lng,大潭CC#2,['大潭'],742.7,193.8,26.09,1,online,部分故障,,2021,10
30,30,2021-05-30 04:00,lng,大潭CC#2,['大潭'],742.7,621.7,83.71,1,online,,,2021,05
30,30,2021-05-24 10:30,lng,大潭CC#2,['大潭'],742.7,716.9,96.53,1,online,,,2021,05
30,30,2021-07-16 10:50,lng,大潭CC#2,['大潭'],742.7,412.0,55.47,1,online,部分故障,,2021,07
30,30,2021-08-27 18:20,lng,大潭CC#2,['大潭'],742.7,471.1,63.43,1,online,部分故障,,2021,08
30,30,2021-08-25 19:10,lng,大潭CC#2,['大潭'],742.7,408.7,55.03,1,online,部分故障,,2021,08
30,30,2021-10-12 14:00,lng,大潭CC#2,['大潭'],742.7,197.1,26.54,1,online,部分故障,,2021,10
30,30,2021-12-01 22:50,lng,大潭CC#2,['大潭'],742.7,196.6,26.47,1,online,部分故障,,2021,12
30,30,2021-06-30 06:10,lng,大潭CC#2,['大潭'],742.7,615.9,82.93,1,online,,,2021,06
30,30,2021-07-05 00:10,lng,大潭CC#2,['大潭'],742.7,709.4,95.52,1,online,,,2021,07
30,30,2021-08-23 22:30,lng,大潭CC#2,['大潭'],742.7,440.0,59.24,1,online,部分故障,,2021,08
30,30,2021-06-26 14:30,lng,大潭CC#2,['大潭'],742.7,612.4,82.46,1,online,,,2021,06
30,30,2021-11-04 06:30,lng,大潭CC#2,['大潭'],742.7,194.4,26.17,1,online,部分故障,,2021,11
30,30,2021-04-08 20:40,lng,大潭CC#2,['大潭'],742.7,421.7,56.78,True,online,部分檢修,,2021,04
30,30,2021-09-27 09:20,lng,大潭CC#2,['大潭'],742.7,205.8,27.71,1,online,部分故障,,2021,09
30,30,2021-06-24 15:20,lng,大潭CC#2,['大潭'],742.7,610.5,82.2,1,online,,,2021,06
30,30,2021-09-20 07:10,lng,大潭CC#2,['大潭'],742.7,167.2,22.51,1,online,部分故障,,2021,09
30,30,2021-10-13 19:00,lng,大潭CC#2,['大潭'],742.7,196.1,26.4,1,online,部分故障,,2021,10
30,30,2021-09-13 02:00,lng,大潭CC#2,['大潭'],742.7,343.4,46.24,1,online,部分故障,,2021,09
30,30,2021-09-03 09:30,lng,大潭CC#2,['大潭'],742.7,427.7,57.59,1,online,部分故障,,2021,09
30,30,2021-11-06 05:00,lng,大潭CC#2,['大潭'],742.7,196.9,26.51,1,online,部分故障,,2021,11
30,30,2021-05-18 13:50,lng,大潭CC#2,['大潭'],742.7,743.9,100.16,1,online,,,2021,05
30,30,2021-09-11 13:30,lng,大潭CC#2,['大潭'],742.7,465.4,62.66,1,online,部分故障,,2021,09
30,30,2021-09-15 10:10,lng,大潭CC#2,['大潭'],742.7,414.0,55.74,1,online,部分故障,,2021,09
30,30,2021-12-05 04:40,lng,大潭CC#2,['大潭'],742.7,198.6,26.74,1,online,部分故障,,2021,12
29,29,2021-12-30 23:10,lng,大潭CC#2,['大潭'],742.7,165.4,22.27,1,online,部分故障,,2021,12
30,30,2021-12-22 09:00,lng,大潭CC#2,['大潭'],742.7,165.7,22.31,1,online,部分故障,,2021,12
30,30,2021-09-19 19:50,lng,大潭CC#2,['大潭'],742.7,219.0,29.49,1,online,部分故障,,2021,09
30,30,2021-08-24 16:00,lng,大潭CC#2,['大潭'],742.7,474.7,63.92,1,online,部分故障,,2021,08
30,30,2021-11-04 23:30,lng,大潭CC#2,['大潭'],742.7,194.0,26.12,1,online,部分故障,,2021,11
30,30,2021-06-04 14:30,lng,大潭CC#2,['大潭'],742.7,738.7,99.46,1,online,,,2021,06
30,30,2021-10-16 01:20,lng,大潭CC#2,['大潭'],742.7,195.9,26.38,1,online,部分故障,,2021,10
30,30,2021-06-02 22:00,lng,大潭CC#2,['大潭'],742.7,647.0,87.11,1,online,,,2021,06
30,30,2021-10-22 05:00,lng,大潭CC#2,['大潭'],742.7,193.9,26.11,1,online,部分故障,,2021,10
30,30,2021-10-11 17:50,lng,大潭CC#2,['大潭'],742.7,196.1,26.4,1,online,部分故障,,2021,10
30,30,2021-08-18 01:50,lng,大潭CC#2,['大潭'],742.7,424.0,57.09,1,online,部分故障,,2021,08
30,30,2021-08-09 01:40,lng,大潭CC#2,['大潭'],742.7,425.5,57.29,1,online,部分故障,,2021,08
30,30,2021-04-11 09:30,lng,大潭CC#2,['大潭'],742.7,471.3,63.46,True,online,部分檢修,,2021,04
30,30,2021-07-04 16:00,lng,大潭CC#2,['大潭'],742.7,696.9,93.83,1,online,,,2021,07
30,30,2021-12-21 19:40,lng,大潭CC#2,['大潭'],742.7,165.0,22.22,1,online,部分故障,,2021,12
30,30,2021-09-09 06:00,lng,大潭CC#2,['大潭'],742.7,425.0,57.22,1,online,部分故障,,2021,09
30,30,2021-07-26 01:00,lng,大潭CC#2,['大潭'],742.7,414.9,55.86,1,online,部分故障,,2021,07
30,30,2021-12-26 17:20,lng,大潭CC#2,['大潭'],742.7,166.8,22.46,1,online,部分故障,,2021,12
30,30,2021-06-29 00:50,lng,大潭CC#2,['大潭'],742.7,702.3,94.56,1,online,,,2021,06
30,30,2021-06-30 14:00,lng,大潭CC#2,['大潭'],742.7,719.8,96.92,1,online,,,2021,06
30,30,2021-07-08 14:10,lng,大潭CC#2,['大潭'],742.7,460.4,61.99,1,online,部分故障,,2021,07
30,30,2021-08-09 20:10,lng,大潭CC#2,['大潭'],742.7,462.9,62.33,1,online,部分故障,,2021,08
30,30,2021-04-10 14:00,lng,大潭CC#2,['大潭'],742.7,464.5,62.54,True,online,部分檢修,,2021,04
30,30,2021-07-24 00:00,lng,大潭CC#2,['大潭'],742.7,338.8,45.62,1,online,部分故障,,2021,07
30,30,2021-09-15 20:10,lng,大潭CC#2,['大潭'],742.7,460.7,62.03,1,online,部分故障,,2021,09
30,30,2021-10-10 08:30,lng,大潭CC#2,['大潭'],742.7,194.7,26.22,1,online,部分故障,,2021,10
30,30,2021-08-03 16:00,lng,大潭CC#2,['大潭'],742.7,446.0,60.05,1,online,部分故障,,2021,08
30,30,2021-12-06 22:40,lng,大潭CC#2,['大潭'],742.7,197.4,26.58,1,online,部分故障,,2021,12
30,30,2021-07-10 15:10,lng,大潭CC#2,['大潭'],742.7,432.5,58.23,1,online,部分故障,,2021,07
30,30,2021-09-02 03:30,lng,大潭CC#2,['大潭'],742.7,409.2,55.1,1,online,部分故障,,2021,09
30,30,2021-04-15 18:20,lng,大潭CC#2,['大潭'],742.7,602.5,81.12,True,online,,,2021,04
30,30,2021-11-19 09:30,lng,大潭CC#2,['大潭'],742.7,197.4,26.58,1,online,部分故障,,2021,11
30,30,2021-04-09 20:10,lng,大潭CC#2,['大潭'],742.7,449.5,60.52,True,online,部分檢修,,2021,04
30,30,2021-07-21 12:20,lng,大潭CC#2,['大潭'],742.7,432.8,58.27,1,online,部分故障,,2021,07
30,30,2021-08-05 00:10,lng,大潭CC#2,['大潭'],742.7,418.5,56.35,1,online,部分故障,,2021,08
30,30,2021-08-02 00:30,lng,大潭CC#2,['大潭'],742.7,398.1,53.6,1,online,部分故障,,2021,08
30,30,2021-05-22 22:30,lng,大潭CC#2,['大潭'],742.7,695.0,93.58,1,online,,,2021,05
30,30,2021-06-09 22:40,lng,大潭CC#2,['大潭'],742.7,612.8,82.51,1,online,,,2021,06
30,30,2021-09-23 20:00,lng,大潭CC#2,['大潭'],742.7,205.8,27.71,1,online,部分故障,,2021,09
30,30,2021-11-14 18:50,lng,大潭CC#2,['大潭'],742.7,196.8,26.5,1,online,部分故障,,2021,11
30,30,2021-10-02 15:30,lng,大潭CC#2,['大潭'],742.7,194.9,26.24,1,online,部分故障,,2021,10
30,30,2021-12-04 05:40,lng,大潭CC#2,['大潭'],742.7,195.8,26.36,1,online,部分故障,,2021,12
30,30,2021-06-20 08:40,lng,大潭CC#2,['大潭'],742.7,679.4,91.48,1,online,,,2021,06
30,30,2021-09-03 20:20,lng,大潭CC#2,['大潭'],742.7,441.5,59.45,1,online,部分故障,,2021,09
30,30,2021-12-24 05:40,lng,大潭CC#2,['大潭'],742.7,165.4,22.27,1,online,部分故障,,2021,12
30,30,2021-11-15 16:40,lng,大潭CC#2,['大潭'],742.7,197.4,26.58,1,online,部分故障,,2021,11
30,30,2021-05-29 03:50,lng,大潭CC#2,['大潭'],742.7,626.2,84.31,1,online,,,2021,05
30,30,2021-10-21 08:40,lng,大潭CC#2,['大潭'],742.7,193.9,26.11,1,online,部分故障,,2021,10
30,30,2021-12-20 23:20,lng,大潭CC#2,['大潭'],742.7,165.6,22.3,1,online,部分故障,,2021,12
30,30,2021-08-17 21:00,lng,大潭CC#2,['大潭'],742.7,470.5,63.35,1,online,部分故障,,2021,08
30,30,2021-11-13 23:10,lng,大潭CC#2,['大潭'],742.7,196.7,26.48,1,online,部分故障,,2021,11
30,30,2021-11-12 06:40,lng,大潭CC#2,['大潭'],742.7,194.7,26.22,1,online,部分故障,,2021,11
30,30,2021-12-23 17:10,lng,大潭CC#2,['大潭'],742.7,165.9,22.34,1,online,部分故障,,2021,12
30,30,2021-10-03 17:30,lng,大潭CC#2,['大潭'],742.7,194.6,26.2,1,online,部分故障,,2021,10
